8	146	3	48	0.09
9	171	2	72	0.1
10	196	2	97	0.11
11	221	3	23	0.12
12	246	4	49	0.13
13	271	3	73	0.14
14	296	3	98	0.15
15	321	4	24	0.16
16	346	5	50	0.17
17	371	4	74	0.18
18	396	4	99	0.19
19	421	5	25	0.2
20	446	6	51	0.21
21	471	5	75	0.22
22	496	5	0	0.23
23	521	6	26	0.24
24	546	7	52	0.25
25	571	6	76	0.26
26	596	6	1	0.27
27	621	7	27	0.28
28	646	8	53	0.29
29	671	7	77	0.3
30	696	7	2	0.31
31	721	8	28	0.32
32	746	9	54	0.33
33	771	8	78	0.34
34	796	8	3	0.35
35	821	9	29	0.36
36	846	10	55	0.37
37	871	9	79	0.38
38	896	9	4	0.39
39	921	10	30	0.4
40	0	6	5	0.41
41	971	10	80	0.42
42	996	11	6	0.43
43	64	1	64	0.44
44	90	1	90	0.45
45	116	1	16	0.46
46	142	1	42	0.47
47	168	1	68	0.48
48	194	2	95	0.49
49	220	1	20	0.5
50	12	1	12	0.51
51	272	10	81	0.52
52	298	10	7	0.53
53	324	8	31	0.54
54	350	7	56	0.55
55	376	7	82	0.56
56	402	7	8	0.57
57	428	5	32	0.58
58	454	4	57	0.59
59	480	4	83	0.6
60	506	4	9	0.61
61	532	2	33	0.62
62	558	1	58	0.63
63	584	1	84	0.64
64	610	1	10	0.65
65	636	1	36	0.66
66	662	1	62	0.67
67	688	1	88	0.68
68	714	1	14	0.69
69	740	1	40	0.7
70	766	1	66	0.71
71	792	1	92	0.72
72	818	1	18	0.73
73	844	1	44	0.74
74	870	16	85	0.75
75	38	1	38	0.76
76	922	13	34	0.77
77	948	12	59	0.78
78	974	13	86	0.79
79	79	9	87	0.8
80	106	6	11	0.81
81	133	3	35	0.82
82	160	1	60	0.83
83	187	3	89	0.84
84	214	2	15	0.85
85	241	1	41	0.86
86	268	2	69	0.87
87	295	19	13	0.88
88	322	16	37	0.89
89	349	13	61	0.9
90	55	9	63	0.91
91	403	15	17	0.92
92	430	10	39	0.93
93	457	9	65	0.94
94	484	8	91	0.95
95	511	9	19	0.96
96	538	6	43	0.97
97	565	3	67	0.98
98	592	2	93	0.99
99	619	27	45	1
0	53	1	53	0.01
1	78	1	78	0.02
2	103	1	3	0.03
3	128	1	28	0.04
4	153	2	54	0.05
5	178	2	79	0.06
6	203	2	4	0.07
7	228	2	29	0.08
8	253	3	55	0.09
9	278	3	80	0.1
10	303	3	5	0.11
11	328	3	30	0.12
12	353	4	56	0.13
13	378	4	81	0.14
14	403	4	6	0.15
15	428	4	31	0.16
16	453	5	57	0.17
17	478	5	82	0.18
18	503	5	7	0.19
19	528	5	32	0.2
20	553	6	58	0.21
21	578	6	83	0.22
22	603	6	8	0.23
23	628	6	33	0.24
24	653	7	59	0.25
25	678	7	84	0.26
26	703	7	9	0.27
27	728	7	34	0.28
28	753	8	60	0.29
29	778	8	85	0.3
30	803	8	10	0.31
